time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-30 00:00:00+00:00,33,28,1,1
2026-07-31 00:00:00+00:00,32,23,2,2
2026-08-01 00:00:00+00:00,46,32,6,3
2026-08-02 00:00:00+00:00,23,23,1,1
2026-08-03 00:00:00+00:00,21,21,0,0
2026-08-04 00:00:00+00:00,29,27,2,1
2026-08-05 00:00:00+00:00,44,31,0,0
2026-08-06 00:00:00+00:00,17,17,0,0
2026-08-07 00:00:00+00:00,34,28,0,0
2026-08-08 00:00:00+00:00,38,29,0,0
2026-08-09 00:00:00+00:00,30,26,0,0
2026-08-10 00:00:00+00:00,32,27,1,1
2026-08-11 00:00:00+00:00,39,29,0,0
2026-08-12 00:00:00+00:00,36,27,0,0
