time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-18 00:00:00+00:00,25,25,1,1
2026-08-19 00:00:00+00:00,24,24,0,0
2026-08-20 00:00:00+00:00,29,29,1,1
2026-08-21 00:00:00+00:00,34,29,1,1
2026-08-22 00:00:00+00:00,26,26,0,0
2026-08-23 00:00:00+00:00,38,29,0,0
2026-08-24 00:00:00+00:00,25,25,0,0
2026-08-25 00:00:00+00:00,27,27,0,0
2026-08-26 00:00:00+00:00,24,24,0,0
2026-08-27 00:00:00+00:00,9,9,0,0
2026-08-28 00:00:00+00:00,27,15,0,0
2026-08-29 00:00:00+00:00,26,25,0,0
2026-08-30 00:00:00+00:00,27,27,0,0
2026-08-31 00:00:00+00:00,36,33,1,1
