time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-24 00:00:00+00:00,28,28,0,0
2026-07-25 00:00:00+00:00,27,27,0,0
2026-07-26 00:00:00+00:00,25,25,0,0
2026-07-27 00:00:00+00:00,29,25,0,0
2026-07-28 00:00:00+00:00,29,25,3,3
2026-07-29 00:00:00+00:00,22,22,1,1
2026-07-30 00:00:00+00:00,33,28,1,1
2026-07-31 00:00:00+00:00,32,23,2,2
2026-08-01 00:00:00+00:00,46,32,6,3
2026-08-02 00:00:00+00:00,23,23,1,1
2026-08-03 00:00:00+00:00,21,21,0,0
2026-08-04 00:00:00+00:00,29,27,2,1
2026-08-05 00:00:00+00:00,44,31,0,0
2026-08-06 00:00:00+00:00,17,17,0,0
